"Aviso","Nro","Nivel","Inicio","Fin","Departamento","Provincia","Distrito"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","GENERAL SANCHEZ CERRO","PUQUINA"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","MARISCAL NIETO","TORATA"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","MARISCAL NIETO","SAN ANTONIO"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","GENERAL SANCHEZ CERRO","LA CAPILLA"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","ILO","ILO"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","ILO","EL ALGARROBAL"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","ILO","PACOCHA"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","MARISCAL NIETO","MOQUEGUA"
"INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA","436 (vigente)","ROJO","2025-12-07","2025-12-09","MOQUEGUA","MARISCAL NIETO","SAMEGUA"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","PUQUINA"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","QUINISTAQUILLAS"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","UBINAS"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","MARISCAL NIETO","SAN CRISTOBAL"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","MARISCAL NIETO","TORATA"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","OMATE"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","CHOJATA"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","ICHUÃ‘A"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","MATALAQUE"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","MARISCAL NIETO","MOQUEGUA"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","MARISCAL NIETO","CARUMAS"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","MARISCAL NIETO","SAMEGUA"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","MARISCAL NIETO","CUCHUMBAYA"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","COALAQUE"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","LLOQUE"
"DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA","434 (vigente)","ROJO","2025-12-06","2025-12-08","MOQUEGUA","GENERAL SANCHEZ CERRO","YUNGA"
